subject,trial,block,task,task_onset,task_duration,word,word_onset,word_duration,mean_valence,mean_arousal,valence,letters,frequency,concreteness,part_of_speech,imageability,options_onset,options_duration,response,RT,iti_duration
777,1,1,Positive,0.003,0.998,traitor,1.001,3.003,2.39,4.27,0,7,540,3.69,noun,3.48,4.005,2.653,yes,0.619,1.001
777,2,1,Describes,7.669,0.991,ambition,8.659,3.003,7.28,4.86,1,8,273,1.74,noun,3.26,11.663,3.287,no,1.269,1.001
777,3,1,Describes,15.955,0.996,volunteer,16.952,3.003,7.35,3.95,1,9,475,3.77,noun,4.06,19.955,2.419,no,0.401,2.002
777,4,1,Positive,24.384,0.993,mentor,25.378,3.003,7.05,3.5,1,6,178,3.7,noun,3.96,28.381,3.437,no,1.419,0.501
777,5,1,Positive,32.323,0.997,seeker,33.320,3.003,6.33,4.95,1,6,47,3.44,noun,2.52,36.323,4.555,no,2.537,0.501
777,6,1,Describes,41.387,0.993,stinky,42.379,3.003,3.16,3.76,0,6,182,3.73,adj,4.12,45.383,3.036,no,1.018,1.001
777,7,1,Positive,49.428,0.993,sad,50.422,3.003,2.1,3.49,0,3,3232,3.07,adj,4.44,53.425,2.786,no,0.768,0.501
777,8,1,Positive,56.717,0.996,awkward,57.713,3.003,2.95,4.55,0,7,730,2.0,noun,3.62,60.716,2.252,no,0.234,1.001
777,9,1,Describes,63.979,0.991,selfish,64.971,3.003,3.3,4.57,0,7,811,1.92,adj,3.52,67.974,3.787,yes,1.769,0.501
777,10,1,Describes,72.267,0.996,lazy,73.263,3.003,3.05,3.05,0,4,591,2.67,adj,3.68,76.267,4.905,yes,2.887,1.001
777,11,1,Positive,82.181,0.992,carefree,83.174,3.003,7.32,4.15,1,8,69,1.88,adj,3.02,86.177,5.422,yes,3.404,1.001
777,12,1,Positive,92.605,0.997,alone,93.602,3.003,3.85,4.0,0,5,15735,2.86,noun,4.24,96.605,2.653,no,0.635,2.002
777,13,1,Positive,101.266,0.995,healthy,102.261,3.003,7.76,4.19,1,7,1262,3.31,adj,4.14,105.265,9.760,no,7.743,2.002
777,14,1,Describes,117.039,0.990,anxiety,118.028,3.003,2.38,4.78,0,7,345,2.21,noun,3.48,121.032,2.452,yes,0.435,0.501
777,15,1,Positive,123.994,0.992,wellness,124.986,3.003,7.67,4.56,1,8,21,2.0,noun,3.44,127.989,6.524,yes,4.506,1.001
777,16,1,Positive,135.518,0.997,allure,136.515,3.003,6.9,4.25,1,6,30,1.92,noun,2.66,139.519,3.203,yes,1.185,0.501
777,17,1,Describes,143.233,0.991,charitable,144.224,3.003,7.33,3.5,1,10,104,2.13,adj,3.4,147.227,3.303,no,1.285,2.002
777,18,1,Describes,152.537,0.997,dropout,153.534,3.003,3.33,4.7,0,7,43,3.52,noun,2.82,156.537,4.421,no,2.388,0.501
777,19,1,Positive,161.467,0.993,loser,162.460,3.003,2.85,3.94,0,5,1381,2.35,noun,3.56,165.464,4.038,no,2.020,0.500
777,20,1,Positive,170.007,0.996,irresponsible,171.003,3.003,2.5,5.0,0,13,237,2.04,adj,2.92,174.006,3.554,no,1.536,1.001
777,21,1,Positive,178.567,0.995,unwelcome,179.562,3.003,3.5,4.39,0,9,37,2.0,adj,2.46,182.565,3.704,yes,1.671,1.001
777,22,1,Positive,187.274,0.997,gloom,188.271,3.003,2.89,3.9,0,5,59,1.86,noun,3.94,191.275,2.603,yes,0.569,0.501
777,23,1,Positive,194.383,0.996,dreamer,195.379,3.003,7.45,4.4,1,7,155,2.19,noun,3.78,198.383,2.519,yes,0.486,2.002
777,24,1,Describes,202.914,0.991,lovable,203.905,3.003,8.26,5.41,1,7,91,1.97,adj,3.8,206.909,8.142,yes,6.124,1.001
777,25,1,Describes,216.055,0.997,filth,217.053,3.003,2.62,4.09,0,5,231,4.14,noun,5.04,220.056,3.237,no,1.219,0.501
777,26,1,Describes,223.797,0.997,spirited,224.795,3.003,7.57,5.21,1,8,62,1.67,adj,3.32,227.798,11.763,yes,9.745,1.001
777,27,1,Describes,240.565,0.998,unity,241.563,3.003,6.67,4.8,1,5,138,2.23,noun,3.2,244.566,2.402,yes,0.385,2.002
