subject,trial,block,task,task_onset,task_duration,word,word_onset,word_duration,mean_valence,mean_arousal,valence,letters,frequency,concreteness,part_of_speech,imageability,options_onset,options_duration,response,RT,iti_duration
888,1,1,Positive,0.005,0.996,healthy,1.001,3.003,7.76,4.19,1,7,1262,3.31,adj,4.14,4.005,4.054,no,2.036,0.501
888,2,1,Describes,8.569,0.992,smart,9.560,3.003,7.73,3.81,1,5,4909,1.75,adj,3.76,12.564,10.461,no,8.443,0.501
888,3,1,Positive,23.534,0.993,allure,24.527,3.003,6.9,4.25,1,6,30,1.92,noun,2.66,27.530,2.870,no,0.852,0.501
888,4,1,Positive,30.906,0.996,enthusiastic,31.901,3.003,7.55,5.9,1,12,142,2.76,adj,3.76,34.905,2.719,no,0.702,1.001
888,5,1,Positive,38.631,0.995,cleverness,39.626,3.003,6.95,5.55,1,10,26,2.07,noun,3.02,42.630,2.820,no,0.802,1.001
888,6,1,Positive,46.455,0.997,turnoff,47.452,3.003,2.85,4.26,0,7,36,2.36,noun,2.72,50.455,2.319,no,0.301,2.002
888,7,1,Positive,54.782,0.996,wealth,55.777,3.003,7.33,5.24,1,6,324,2.63,noun,4.76,58.781,2.586,no,0.568,2.002
888,8,1,Describes,63.379,0.991,volunteer,64.370,3.003,7.35,3.95,1,9,475,3.77,noun,4.06,67.374,2.569,no,0.551,2.002
888,9,1,Describes,71.950,0.996,affectionate,72.946,3.003,7.23,4.77,1,12,115,2.28,adj,3.9,75.950,2.386,no,0.368,1.001
888,10,1,Positive,79.345,0.993,alone,80.338,3.003,3.85,4.0,0,5,15735,2.86,noun,4.24,83.341,2.436,no,0.418,2.002
888,11,1,Describes,87.790,0.990,disappointment,88.780,3.003,2.79,4.9,0,14,277,1.93,noun,3.34,91.784,2.436,no,0.418,0.501
888,12,1,Describes,94.727,0.994,achievement,95.721,3.003,7.28,5.57,1,11,178,2.37,noun,3.48,98.725,2.503,no,0.485,1.001
888,13,1,Positive,102.238,0.992,respectful,103.229,3.003,7.45,3.32,1,10,97,2.19,adj,3.32,106.233,2.820,no,0.802,0.501
888,14,1,Describes,109.564,0.990,sportsmanship,110.554,3.003,6.3,5.14,1,13,28,1.97,noun,3.92,113.557,2.903,no,0.870,2.002
888,15,1,Describes,118.468,0.995,anxiety,119.464,3.003,2.38,4.78,0,7,345,2.21,noun,3.48,122.467,2.619,no,0.601,0.501
888,16,1,Describes,125.591,0.997,legend,126.588,3.003,6.86,5.13,1,6,875,2.96,noun,3.58,129.592,2.719,no,0.702,0.500
888,17,1,Describes,132.816,0.996,admired,133.813,3.003,7.25,5.95,1,7,187,1.84,adj,3.4,136.816,2.452,no,0.419,1.001
888,18,1,Describes,140.274,0.997,hesitation,141.271,3.003,3.67,3.61,0,10,94,2.59,noun,3.18,144.274,2.386,no,0.352,2.002
888,19,1,Describes,148.667,0.996,thinker,149.663,3.003,7.26,4.45,1,7,60,2.54,noun,4.1,152.667,4.505,no,2.472,2.002
888,20,1,Positive,159.183,0.992,wellness,160.175,3.003,7.67,4.56,1,8,21,2.0,noun,3.44,163.178,5.289,no,3.271,1.001
888,21,1,Describes,169.480,0.989,inadequate,170.469,3.003,2.57,4.3,0,10,95,1.96,adj,2.16,173.473,2.519,no,0.501,2.002
