subject,phase,session,trial,item,enc_task,enc_response,enc_RT,valence,letters,frequency,concreteness,part_of_speech,imageability,status,recog_resp,recog_rt,old_new_onset,old_new_duration,ret_stim_onset,ret_stim_duration,ret_options_onset,ret_options_duration,task_resp,task_rt,task_onset,task_duration,task_prompt_onset,task_prompt_duration,task_options_onset,task_options_duration,iti_durs
888,practice,1,0,faker,nan,nan,nan,nan,nan,nan,nan,nan,nan,old,1,0.418,9.952,0.996,10.947,3.003,13.951,1.935,2,0.685,15.886,1.001,16.887,3.003,19.891,2.202,2004
888,practice,1,0,grateful,nan,nan,nan,nan,nan,nan,nan,nan,nan,new,5,0.769,24.1,0.996,25.096,3.003,28.099,2.286,nan,nan,nan,nan,nan,nan,nan,nan,1002
888,practice,1,0,generous,nan,nan,nan,nan,nan,nan,nan,nan,nan,old,5,1.686,31.391,0.997,32.387,3.003,35.391,3.204,nan,nan,nan,nan,nan,nan,nan,nan,501
888,practice,1,0,clingy,nan,nan,nan,nan,nan,nan,nan,nan,nan,new,5,0.552,39.1,0.996,40.096,3.003,43.099,2.069,nan,nan,nan,nan,nan,nan,nan,nan,501
888,experiment,1,1,vibrant,nan,nan,nan,1,7,52,2.38,adj,3.9,new,5,0.437,53.433,0.995,54.428,3.003,57.431,1.969,nan,nan,nan,nan,nan,nan,nan,nan,501
888,experiment,1,2,smiley,Positive,no,0.351,1,6,109,3.93,adj,5.1,old,5,0.702,59.907,0.995,60.902,3.003,63.905,2.219,nan,nan,nan,nan,nan,nan,nan,nan,501
888,experiment,1,3,radiant,nan,nan,nan,1,7,110,2.45,adj,3.84,new,5,0.602,66.63,0.996,67.626,3.003,70.629,2.119,nan,nan,nan,nan,nan,nan,nan,nan,1002
888,experiment,1,4,heartbroken,Describes,no,0.451,0,11,93,2.37,adj,3.68,old,5,0.42,73.756,0.994,74.75,3.003,77.754,1.952,nan,nan,nan,nan,nan,nan,nan,nan,1002
888,experiment,1,5,unforgivable,nan,nan,nan,0,12,100,1.32,adj,2.42,new,5,0.719,80.713,0.994,81.708,3.003,84.711,2.236,nan,nan,nan,nan,nan,nan,nan,nan,1002
888,experiment,1,6,healer,nan,nan,nan,1,6,84,3.52,noun,4.16,new,5,0.785,87.953,0.996,88.949,3.003,91.952,2.303,nan,nan,nan,nan,nan,nan,nan,nan,501
888,experiment,1,7,vermin,nan,nan,nan,0,6,121,4.48,noun,4.78,new,5,0.702,94.761,0.996,95.757,3.003,98.76,2.219,nan,nan,nan,nan,nan,nan,nan,nan,2004
